Period No.;Period Name ;Section Type;Section Title ;Industry Partner / Exercises;Estimated Runtime - min;Estimated Time of completion ;Comments ;
;Solar System Configurations ;Lecture video;PV off-grid configurations and other configurations ;IP SustainGroup South Africa;00:05:00;;Use MaxxSolar M7 -03 and M7 - 04;
;Solar System Configurations ;Quiz ;Quiz 11.2 ;;00:02:00;;;
;Solar System Configurations ;Lecture video;Avoiding pitfalls ;;00:05:00;;Use MaxxSolar M7 -05;
;Solar System Configurations ;Quiz ;Quiz 11.3;;00:02:00;;;
;Solar System Configurations ;Summary Video;Summary Video;;00:02:00;;;
;;;;;00:45:00;;;
12;Solar Resources ;Introduction video ;Introduction to the section;;00:02:00;;;
;Solar Resources ;Lecture video;Sun energy ;;00:05:00;;Use MaxxSolar M8 - 01 ;
;Solar Resources ;Quiz ;Quiz 12.1 ;;00:02:00;;;
;Solar Resources ;Lecture video;Solar yield and yield maps;Similar content to - Solar system yield, performance and optimisation - please check ;00:05:00;;Use MaxxSolar M8 -02 ;
;Solar Resources ;Quiz ;Quiz 12.2;;00:02:00;;;
;Solar Resources ;Lecture video;Peak sun hours and seasonal effects ;;00:05:00;;Use MaxxSolar M8 - 03 and M8 - 04;
;Solar Resources ;Placeholder - diverse tasks ;Lex Solar Exercises: I-V-characteristics of different solar modules, I-V-characteristics of partial shaded solar modules;;00:20:00;;;
;Solar Resources ;Quiz ;Quiz 12.3;;00:02:00;;;
;Solar Resources ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
13;Solar System Performance and Yield ;Introduction video ;Introduction to this section ;Partial shading of series-connected solar cells;00:02:00;;;
;Solar System Performance and Yield ;Lecture video;Solar system yield, performance and optimisation ;I-V-characteristics of different solar modules;00:05:00;;Use MaxxSolar M9 - 01, M9 - 02;
;Solar System Performance and Yield ;Quiz ;Quiz 13.1 ;I-V-characteristics of partial shaded solar modules;00:02:00;;;
;Solar System Performance and Yield ;Placeholder - Diverse Tasks ;Lex Solar interactive exercises: Partial shading of series-connected solar cells, Dependence of solar cell power on temperature ;;00:15:00;;;
;Solar System Performance and Yield ;Lecture video;Solar Panel orientation and inclination;IP Mounting Structure (e.g. differences between fixed tilt and tracker);00:05:00;;Use MaxxSolar M9 - 03;
;Solar System Performance and Yield ;Quiz ;Quiz 13.2;;00:02:00;;;
;Solar System Performance and Yield ;Lecture video;Shading and Maintainance ;Partial shading of series-connected solar cells;00:05:00;;Use MaxxSolar M9 - 04;
;Solar System Performance and Yield ;Quiz ;Quiz 13.3;;00:02:00;;;
;Solar System Performance and Yield ;Lecture video;Irradiance and Heat - what is what?;Dependence of solar cell power on temperature;00:05:00;;Use MaxxSolar M9 - 06;
;Solar System Performance and Yield ;Quiz ;Quiz 13.4;;00:02:00;;;
;Solar System Performance and Yield ;Summary Video;Summary Video;;00:02:00;;;
;;;;;00:47:00;;;
14;System Operations ;Introduction video ;Introduction to the section;;00:02:00;;;
;System Operations ;Lecture video;Lecture on Lifespan and Maintainance ;IP about importance of O&M;00:05:00;;Use MaxxSolar M10 - 01;
;System Operations ;Quiz ;Quiz 14.1;;00:02:00;;;
;System Operations ;Lecture video - Common O&M practices;TBD ;;00:05:00;;;
;System Operations ;Placeholder - Diverse Tasks ;IP about importance of O&M, IP Interview with an EPC (Sunotec) about O&M;;00:20:00;;;
;System Operations ;Quiz ;Quiz 14.2;;00:02:00;;;
;System Operations ;Lecture video - Common Faults in PV Systems ;TBD;;00:05:00;;;
;;Quiz ;Quiz 14.3;;00:02:00;;;
;System Operations ;Summary Video;Summary Video;;00:02:00;;;
;;;;;00:45:00;;;
15;Markets and Pricing ;Introduction video ;Introduction to this section ;;00:02:00;;;
;Markets and Pricing ;Lecture video;Current pricing and levelized cost of energy ;IP Interview with an EPC (Sunotec) about pricing ;00:05:00;;Use MaxxSolar M11 - 01, M11 - 02 ;
;markets and Pricing ;Placeholder - Diverse Tasks ;TBD  - Proposal - IP Interview with an EPC (Sunotec) about pricing ;;00:20:00;;;
;Markets and Pricing ;Quiz ;Quiz 15.1;;00:02:00;;;
;Markets and Pricing ;Lecture video;Value Proposition of Solar power ;;00:05:00;;Use MaxxSolar M11 - 03;
;Markets and Pricing ;Quiz ;Quiz 15.2;;00:02:00;;;
;Markets and Pricing ;Lecture video;Simple payback calculation ;;00:05:00;;Use MaxxSolar M11 - 04;
;Markets and Pricing ;Quiz ;Quiz 15.3;;00:02:00;;;
;Markets and Pricing ;Summary Video;Summary Video ;;00:02:00;;;
;;;;;00:45:00;;;
16;Solar is the Future ;Introduction video ;Introduction to this final section and description of the evaluation format and assessment criteria ;;00:10:00;;;
;Solar is the Future ;Lecture video;Market segments and practical use of the skills learnt in the course; ;00:05:00;;Use MaxxSolar M12 - 01, M12 - 02;
;Solar is the Future ;Quiz;Quiz 16.1;;00:02:00;;;
;Solar is the Future ;Instruction for the assessment / Assessment ;Assessment ;;00:25:00;;TBD;
;Solar is the Future ;Summary Video;Concluding video ;;00:05:00;;;
;;;;;00:47:00;;;
